Meal,Food,Calories,Protein (g),Carbs (g),Fat (g)
Breakfast,Cranberries Dried,370.0,0.05,98.8,1.6
Lunch,Raisins Seeded,488.0,4.2,129.5,0.9
Dinner,Butternuts Dried,734.0,29.9,14.5,68.4
Snack,Lupins Cooked,193.0,25.8,15.4,4.8
Total,,1785.0,59.95,258.2,75.7
